Sample,habitat,gene,cent
1,Agriculture,1.224605039,1.158
2,Agriculture,1.05514188,1.227
3,Agriculture,0.742597255,0.339
4,Agriculture,1.536617737,3.587
5,Agriculture,1.97654788,14.866
6,Agriculture,1.551064838,1.568
7,Agriculture,2.265377184,6.961
8,Agriculture,1.840375329,6.605
9,Agriculture,3.064065697,49.804
10,Agriculture,1.690353168,4.158
11,Agriculture,1.922700794,4.141
12,Agriculture,2.772070777,25.247
13,Agriculture,2.04771309,1.636
14,Agriculture,1.815853478,1.252
15,Agriculture,2.084740371,2.526
16,Agriculture,2.701991753,1.705
17,Agriculture,3.355608586,3.435
18,Agriculture,2.381901464,1.672
19,Agriculture,2.925021473,2.138
20,Agriculture,2.761749059,1.33
21,Agriculture,3.77408807,13.157
22,Agriculture,3.056261719,22.932
23,Agriculture,4.026687397,31.156
24,Agriculture,2.723256574,3.059
