sample,wind_speed,BIO2,BIO3,BIO8,BIO9,BIO15,BIO19,BIO21,BIO23,BIO24,BIO31,BIO34,BIO35,AI,agriculture,nfertilize,livestock ,N_LIVESTOCK,N2O,GDP,HII,TRSUM,POP,RISK
sample1,3.174104452,7.5246501,25.0408001,21.7007008,6.6326098,33.9472008,307.1380005,176,0,162,0.06,1.2748,1.16016,14551,68271.6,5,0,0,67.05097926,31732.6,12,69,0,0
sample2,1.893196583,10.099,27.0135002,21.1252003,-3.4073801,98.3002014,62.0661011,214,0,172,0.3,1.33758,0.691311,12275,51727.7,3.38,96882.66849,38.594383,45.54689297,11394.4,35,79,264.589,0.001210004
sample3,4.87605381,10.1312504,26.9385033,3.3333333,18.2999992,13.0657167,271,200.5,0.42,64.9,0.17,0.743016,1.11767,10944,131840.5,0,598576.1571,11.150164,948.7819639,32959.9,14,43,12.0991,0.004440246
sample4,4.180285454,10.916667,26.6463413,20.5166664,-5.8000002,38.5183296,101,213.76,0.44,196.76,0.12,0.700931,0.925201,7701,30150.4,44.18,916.0106,0,948.7819639,34444.1,44,99,0,0.509654393
sample5,5.341932774,7.18362,26.0730991,14.2334995,-0.123746,30.118,123.9749985,219,0,147,0.24,0.552268,1.00522,8679,32896.5,9.45,446.0558,22.725304,30.38406264,37387.6,18,79,15.2867,24.13038772
sample6,2.047506094,17.1180992,68.3999023,17.1648998,12.6141005,90.5849991,27.8311996,192,0,151,0.66,0.541262,0.187123,3833,62789.6,0.14,875.8409,0,22.80588653,3912.86,44,429,2330.78,0.443423689
sample7,5.109867573,8.7127972,18.8720169,7.25,-15.2833338,55.7651863,91,190.36,0.58,130.8,0.1,0.998249,0.956887,11612,0,0,21.0365,0,124.6996899,27342,8,3013,0,0.009928618
sample8,3.792665958,8.14359,24.8815002,12.8298998,-3.0171101,34.1160011,123.8860016,225,0,157,0.2,0.644769,1.01548,9720,0,9.73,424.50142,23.458112,20.94828238,39248.7,13,120,36.4486,0.090149334
sample9,3.974469185,10.5229168,23.117691,8.833333,-20.5,64.8896408,33,170.69,0.86,122.26,0.15,0.439237,0.383548,4935,0,0,11.429547,0,968.3179931,43268.7,8,529,0,0.074204947
sample10,5.341932774,7.1293898,25.9710007,14.2943001,-0.0517146,30.2390003,121.2929993,219,0,147,0.25,0.541785,1.00546,8258,36996,9.45,1084.9716,0,29.6506823,37387.6,49,31,577.14,0.269577699
sample11,3.792665958,8.1231098,24.8267002,12.8577995,-3.0067301,34.2762985,123.3389969,225,0,157,0.2,0.644769,1.01548,9763,84026.7,5.74,468.90752,23.458112,20.56990041,39248.7,11,137,36.4486,0.057778961
sample12,5.109867573,8.7127972,18.8720169,7.25,-15.2833338,55.7651863,91,190.36,0.58,130.8,0.1,0.998249,0.956887,11612,0,0,21.0365,0,124.6996899,27342,8,3013,0,0.029041749
sample13,2.094091415,7.6905999,32.7961998,13.3146,-0.44218,17.0035,302.2839966,195,0,182,0.02,1.14554,1.11887,14597,14790.6,6.5,15447.58311,20.491771,7.395529797,37579,26,231,0,0.00195737
sample14,1.641569257,13.8559999,25.9703007,30.6821003,0.112482,45.2103004,2.776,233,0,218,0.18,0.0701345,0.100364,105,17677.5,4.5,21044.2726,0.210911,1461.432595,1548.77,18,1679,12.3991,1.072645249
sample15,3.792665958,8.1453676,24.9490318,12.8500004,-2.9666667,34.4426498,125,219.93,0.76,142.99,0.2,0.644769,1.01548,9720,3600.7,9.73,59649.2522,23.458112,20.80858089,39248.7,13,120,36.4486,0.016002119
sample16,4.180285454,11.6562996,27.7819996,20.6194,-6.4390802,38.950901,100.9840012,212,0,190,0.12,0.700931,0.925201,7724,115470.8,44.18,1205.77768,0,974.3992491,34444.1,34,101,0,50.82106151
sample17,5.109867573,8.4415836,18.4315872,7.0166669,-15.083333,56.126091,91,190.2,0.58,130.96,0.09,1.00461,0.966556,11374,0,0,14.3631,0,124.6996899,27342,6,3476,0,0.253494322
sample18,2.545255661,9.7283497,21.2984009,17.2120991,-14.7119999,49.850399,79.4599991,214,0,198,0.11,0.782526,0.936371,8654,0,0,0.53662515,0,128.7871398,34639.7,0,467,0.00471569,0.040413317
